Name,Type,Website,Currency,Summary,Country,Linkedin,Instagram,Facebook,Youtube,Twitter
KBH Jewels,business,https://www.kbhjewels.com,USD,Sustainable fine jewelry handcrafted in NYC.,United States of America,https://www.linkedin.com/company/kbh-jewels/,https://www.instagram.com/kbhjewels/?hl=en,None,None,None
Simply Sea LLC,business,http://simplysea.org,USD,An apparel company for environmental conservation,United States of America,None,http://simplyseabrand,http://simplyseabrand,None,None
Lunch Collective,business,https://www.lunchconsulting.co/,USD,None,United States of America,None,http://itslunchco,None,None,None
Rae Rae The Science BAE,business,http://raeraethesciencebae.com,USD,UNIQUE HANDCRAFTED TREASURES FOR OCEAN LOVERS AND ALL WHO STUDY IT,United States of America,None,https://www.instagram.com/raerae_the_science_bae/,https://www.facebook.com/raeraethesciencebae/,None,None
Jones Snowboards,business,https://www.jonessnowboards.com/,CHF,Jones Snowboards,United States of America,None,http://www.instagram.com/jonessnowboards,http://www.facebook.com/jonessnowboards,https://www.youtube.com/channel/UCjJ-MpJ_NvMwja5Z3_K4okw,http://www.twitter.com/jonessnowboards
Dairy-Free State LLC dba Needs More Fiber,business,https://needsmorefiber.com/,USD,Needs More Fiber c/o Dairy-Free State LLC,United States of America,https://www.linkedin.com/company/needs-more-fiber/,None,None,None,None
Dillon Rose,business,https://www.dillonrose.net/,USD,"A nature inspired, woman led jewelry company from the American Heartland. We use 100% recycled metals and ethically sourced stones.",United States of America,None,https://www.instagram.com/_dillonrose/,https://www.facebook.com/dillonroseart/,None,None
Drink in Nature,business,http://www.drinkinnature.com,USD,"Drink in Nature creates handcrafted apparel and goods inspired by nature. Original designs to inspire people to live a clean, fun and impactful lifestyle.",United States of America,https://www.linkedin.com/in/brian-welzbacher-4298a17/,http://www.instagram.com/drink_in_nature,http://www.facebook.com/drinkinnature,None,None
Canon Collaborative,business,https://www.canoncollaborative.com/,USD,Strength Centered Guidance & Development for Individuals and Organizations,United States of America,https://www.linkedin.com/company/canon-collaborative,https://www.instagram.com/canoncollaborative/,https://www.facebook.com/CanonCollaborative,None,https://twitter.com/canoncollab
Matt Dickhut Realty,business,http://www.homesaroundnwa.com,USD,None,United States of America,None,https://www.instagram.com/mattdickhutrealestate/,https://www.facebook.com/mattdickhutrealestate,https://www.youtube.com/channel/UCPzLrNbjFsbb1FKdf2vTYVQ,None
the Eco Helper,business,http://theecohelper.com,USD,Virtual Assistance for People & the Planet,United States of America,None,http://www.instagram.com/theecohelper,https://www.facebook.com/theecohelper,None,None
APIECE ENTERPRISES,business,http://TBD,USD,None,United States of America,None,None,None,None,None
Walrus Oil,business,http://walrusoil.com,USD,Walrus Oil,United States of America,None,https://www.instagram.com/walrusoil/,None,None,None
KC Brick Store,business,http://kcbrickstore.com,USD,"Kansas City's Used LEGO Store! Buy, sell, trade new and used LEGO products!",United States of America,None,https://www.instagram.com/kcbrickstore/,https://www.facebook.com/kcbrickstore,None,https://twitter.com/kcbrickstore
Preservan,business,http://preservan.com,USD,Home service repairing wood rot with epoxy,United States of America,https://www.linkedin.com/company/preservan/,https://www.instagram.com/woodrotrepair,https://www.facebook.com/preservan,https://www.youtube.com/channel/UC8P5aUul9xU70ajhM6PbwWg,https://twitter.com/preservan
Don't Die In The Woods,business,http://dontdieinthewoods.com,USD,Don't Die In The Woods,United States of America,None,https://www.instagram.com/dontdieinthewoods,https://www.facebook.com/dontdieinthewoodsgear,None,None
Pigeon Candles,business,https://www.pigeoncandles.com/,USD,None,United States of America,None,https://www.instagram.com/pigeoncandles/,https://www.facebook.com/pigeoncandles,None,https://twitter.com/pigeoncandles
Farmer Direct Foods,business,https://www.farmerdirectfoods.com/,USD,Naturally Good. Right From the Start.,United States of America,https://www.linkedin.com/company/farmer-direct-foods-inc/,https://www.instagram.com/farmerdirectflour/,https://www.facebook.com/farmerdirectks/,None,https://twitter.com/farmerdirectks
AMP Electric Bicycles,business,http://www.amp-bikes.com,None,None,United States of America,None,https://www.instagram.com/ampbicycles/?hl=en,https://www.facebook.com/AMP-Electric-Bicycles-1334440876628753/,None,None
8th Wonder Tea,business,http://www.8thwondertea.com,USD,None,United States of America,None,https://www.instagram.com/8thwondertea/,https://www.facebook.com/8thWonderTea/,None,https://twitter.com/8thwondertea
Thinkers360,business,https://www.thinkers360.com,USD,THE WORLD'S TOP EXPERTS. ON DEMAND.,United States of America,https://www.linkedin.com/company/thinkers360/,None,None,https://www.youtube.com/channel/UCOrzGtUQo945z9xvqBuKlYw,https://twitter.com/Thinkers360
Piratech,business,http://www.piratech.com,USD,None,United States of America,None,None,None,None,None
Hello Avani,business,https://helloavani.co/,USD,"Helping Sustainable Brands utilize storytelling to engage, inspire and connect with their audience",United States of America,https://www.linkedin.com/company/helloavanico,http://helloavanico,https://www.facebook.com/helloavanico,None,None
Sourced Sustainable Home,business,http://sourcedsustainablehome.com,USD,Sourced Sustainable Home,United States of America,None,None,None,None,None
NikNan Design,business,https://www.niknan.com,USD,NikNan Design is a values-based graphic design studio helping mission-driven brands make a greater impact.,United States of America,https://www.linkedin.com/company/niknandesign,https://www.instagram.com/niknandesign,None,None,None
The Wild Dirt LLC,business,None,USD,Wild Dirt - Navigate Your Wild,United States of America,None,None,https://www.facebook.com/thewilddirt,None,None
Beauty Swab,business,http://BeautySwab.com,USD,Creating innovative multi-purpose and multi-use beauty tools.,United States of America,None,http://@beautyswab,http://@beautyswab,None,None
Nomad Cosmetics,business,http://www.nomadcosmetics.com,USD,Makeup with cause,United States of America,None,https://www.instagram.com/nomadcosmetics/,https://www.facebook.com/nomadmakeup,None,None
Fins Apparel Company,business,http://www.finsprogear.com,USD,Performance Apparel,United States of America,None,http://www.instagram.com/@fins_apparel_co,https://www.facebook.com/profile.php?id=100085310511305,None,http://www.twitter.com/@fins_apparel_co
Long Haul Sports,business,https://longhaulsports.com/,USD,Long Haul Sports provides sports nutrition solutions to help endurance athletes achieve their potential in training and racing.,United States of America,None,None,None,None,None
Sara Patino Jewelry,business,http://www.sarapatinojewelry.com,USD,"Sara Patino Jewelry is a collection of timelessly modern jewelry for women to look, feel and do good.",United States of America,None,https://www.instagram.com/sarapatinojewelry/,https://www.facebook.com/sarapatinojewelry,None,None
Rent Responsibly,business,http://rentresponsibly.org,USD,Community-Building and Education Platform for Short-Term Rentals,United States of America,https://www.linkedin.com/company/rent-responsibly/,https://www.instagram.com/rentresponsibly/,https://www.facebook.com/groups/rentresponsibly,None,None
Terrasoul Superfoods - Sun Alchemy,business,http://terrasoul.com,USD,None,United States of America,None,http://instagram.com/terrasoul,https://www.facebook.com/TerrasoulSuperfoods,None,None
Puppylation Health,business,http://www.PuppylationHealth.com,USD,None,United States of America,https://www.linkedin.com/company/puppylation-health,https://www.instagram.com/puppylationhealth,https://www.facebook.com/PuppylationHealth,None,None
Business Performance Improvement,business,https://www.biz-pi.com,USD,None,United States of America,https://www.linkedin.com/company/18145875/,https://www.instagram.com/brionhurley/,https://www.facebook.com/bizpi,https://www.youtube.com/channel/UCcjolqFniMaNi1yIaM-xr9Q,https://twitter.com/biz_pi
Running For Real,business,https://runningforreal.com,USD,None,United States of America,None,https://instagram.com/tinamuir88,https://facebook.com/realtinamuir,None,https://twitter.com/tinamuir
WATERDROPd LLC,business,https://waterdropd.com,USD,None,United States of America,None,None,None,None,None
"Hero Travel Supply, LLC",business,https://herotravelsupply.com/,USD,Discover the World in Style,United States of America,None,None,None,None,None
Cado,business,http://cadoicecream.com/,USD,None,United States of America,None,https://www.instagram.com/cadoicecream/,https://www.facebook.com/cadoicecream,None,https://twitter.com/CadoIceCream
Forrest Design Company,business,https://forrestdesignco.com,USD,Custom woodworking,United States of America,None,http://instagram.com/forrestdesignco,https://m.facebook.com/Forrestdesigncompany/,None,None
The Keep Store,business,http://thekeepstore.co,USD,"The Keep Store, eco-friendly store & refillery in Springfield, IL",United States of America,None,None,None,None,None
Best Case Wines,business,http://www.bestcasewines.com,USD,Iowa-based wine importer and wholesaler,United States of America,None,https://www.instagram.com/bestcasewines/,https://www.facebook.com/bestcasewines/,None,None
Rootlebox LLC,business,http://www.rootlebox.com,USD,Educating companies about eco-conscious materials + methods. Using carbon-negative algae ink® + MIRUM® - plants not plastic.,United States of America,http://rootlebox,http://rootlebox,http://rootlebox,http://wildrouted,None
Zero Waste Reserve,business,http://zerowastereserve.com,USD,None,United States of America,None,None,None,None,None
